title,genres,platforms,playtime,rating,released,summary,tags
Wolfenstein 3D,"Action, Shooter","Jaguar, 3DO, SNES, Classic Macintosh, Game Boy Advance, PlayStation 3, PC, Xbox 360, Xbox One, iOS, macOS",1,81,1992-05-05,"wolfenstein 3d. Genres: Action, Shooter. Available on: Jaguar, 3DO, SNES, Classic Macintosh, Game Boy Advance, PlayStation 3, PC, Xbox 360, Xbox One, iOS, macOS. Released: 1992-05-05","Singleplayer, Steam Cloud, First-Person, FPS, Classic, Pixel Graphics, Retro, Moddable"
STAR WARS Starfighter,"Action, Shooter, Simulation","PC, PlayStation 3, Xbox 360, Xbox One",1,57,2001-02-18,"star wars starfighter 2. Genres: Action, Shooter, Simulation. Available on: PC, PlayStation 3, Xbox 360, Xbox One. Released: 2001-02-18","Singleplayer, Steam Cloud, Sci-fi, Partial Controller Support, Space, Flight, Star Wars"
Tearaway Unfolded,"Action, Adventure, Family",PlayStation 4,,74,2015-09-08,"tearaway unfolded. Genres: Action, Adventure, Family. Available on: PlayStation 4. Released: 2015-09-08","Action-Adventure, exclusive, true exclusive, Kids/Family"
The Room,"Indie, Puzzle","Android, PC, iOS, Nintendo Switch",3,84,2012-09-19,"the room. Genres: Indie, Puzzle. Available on: Android, PC, iOS, Nintendo Switch. Released: 2012-09-19","Singleplayer, Atmospheric, First-Person, Horror, Point & Click, Mystery, Short, Steampunk"
Polyball,"Action, Simulation, Racing, Indie","macOS, Linux, PC",1,42,2015-06-04,"polyball. Genres: Action, Simulation, Racing, Indie. Available on: macOS, Linux, PC. Released: 2015-06-04","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Difficult, Steam Leaderboards"
Aragami,"Action, Adventure, Indie","Xbox One, PC, macOS, Linux, Nintendo Switch, PlayStation 4",3,72,2016-10-03,"aragami. Genres: Action, Adventure, Indie. Available on: Xbox One, PC, macOS, Linux, Nintendo Switch, PlayStation 4. Released: 2016-10-03","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack"
theHunter,"Action, Adventure, Simulation, Sports",PC,1,51,2014-06-03,"thehunter. Genres: Action, Adventure, Simulation, Sports. Available on: PC. Released: 2014-06-03","Singleplayer, Steam Achievements, Multiplayer, Co-op, Open World, cooperative, First-Person, FPS"
God of War I,Action,"PS Vita, PlayStation 2, PlayStation 3",11,87,2005-03-22,"god of war. Genres: Action. Available on: PS Vita, PlayStation 2, PlayStation 3. Released: 2005-03-22","Atmospheric, Story Rich, Hack and Slash, Blood, Mythology"
DCS World,Simulation,PC,1,55,2013-08-02,dcs world. Genres: Simulation. Available on: PC. Released: 2013-08-02,"Singleplayer, Multiplayer, Co-op, Open World, cooperative, First-Person, Partial Controller Support, FPS"
Death Stranding Director's Cut,"Action, Adventure","PC, macOS, iOS, PlayStation 5",5,85,2021-09-24,"death stranding directors cut. Genres: Action, Adventure. Available on: PC, macOS, iOS, PlayStation 5. Released: 2021-09-24","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich"
Divinity: Original Sin 2 - Definitive Edition,RPG,"PlayStation 4, Nintendo Switch, macOS, PC, iOS, Xbox One",10,90,2018-08-31,"divinity original sin ii definitive edition. Genres: RPG. Available on: PlayStation 4, Nintendo Switch, macOS, PC, iOS, Xbox One. Released: 2018-08-31","PvP, combat, battle, party, explore, environment, Endless, god"
SYNTHETIK,"Action, Indie",PC,4,72,2018-03-15,"synthetik. Genres: Action, Indie. Available on: PC. Released: 2018-03-15","Singleplayer, cooperative, Partial Controller Support, Online Co-Op, Difficult, Violent, Roguelike, Isometric"
Iconoclasts,"Action, Adventure, Indie, Platformer","Xbox One, Nintendo Switch, PlayStation 4, PS Vita, PC",4,75,2018-01-23,"iconoclasts. Genres: Action, Adventure, Indie, Platformer. Available on: Xbox One, Nintendo Switch, PlayStation 4, PS Vita, PC. Released: 2018-01-23","Singleplayer, Full controller support, 2D, Female Protagonist, Pixel Graphics, Metroidvania"
Starfield,"Adventure, RPG","PC, Xbox Series S/X",29,65,2023-09-06,"starfield. Genres: Adventure, RPG. Available on: PC, Xbox Series S/X. Released: 2023-09-06","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, RPG, Story Rich, Open World"
Trine 2,"Action, Arcade, Platformer","PC, Xbox 360, PlayStation 3",3,78,2011-12-07,"trine 2. Genres: Action, Arcade, Platformer. Available on: PC, Xbox 360, PlayStation 3. Released: 2011-12-07","Singleplayer, cooperative, puzzles"
Alien Breed: Impact,"Action, Shooter, Arcade","PC, PlayStation 3",1,59,2010-06-02,"alien breed impact. Genres: Action, Shooter, Arcade. Available on: PC, PlayStation 3. Released: 2010-06-02","Singleplayer, Steam Achievements, Co-op, cooperative, Third Person, Sci-fi, Partial Controller Support, Horror"
Mount & Blade II: Bannerlord,"Action, RPG, Strategy, Simulation","Xbox One, PlayStation 5, Xbox Series S/X, PlayStation 4, PC",19,84,2022-10-25,"mount blade ii bannerlord. Genres: Action, RPG, Strategy, Simulation. Available on: Xbox One, PlayStation 5, Xbox Series S/X, PlayStation 4, PC. Released: 2022-10-25","Singleplayer, Multiplayer, Great Soundtrack, RPG, Co-op, Open World, cooperative, First-Person"
Cthulhu Saves the World,"Adventure, RPG, Indie","iOS, PC",3,58,2011-07-13,"cthulhu saves the world. Genres: Adventure, RPG, Indie. Available on: iOS, PC. Released: 2011-07-13","Singleplayer, Full controller support, steam-trading-cards, Great Soundtrack, RPG, 2D, Fantasy, Funny"
Creativerse,"Action, Adventure, RPG, Simulation, Casual, Massively Multiplayer, Indie","macOS, PC",2,50,2014-08-12,"creativerse. Genres: Action, Adventure, RPG, Simulation, Casual, Massively Multiplayer, Indie. Available on: macOS, PC. Released: 2014-08-12","Singleplayer, Multiplayer, steam-trading-cards, RPG, Co-op, Open World, cooperative, First-Person"
Gods Will Be Watching,"Action, Adventure, Indie","iOS, macOS, PC, Linux",4,69,2014-07-23,"gods will be watching. Genres: Action, Adventure, Indie. Available on: iOS, macOS, PC, Linux. Released: 2014-07-23","Singleplayer, Steam Achievements, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, 2D, Sci-fi"
Pikuniku,"Action, Adventure, Casual, Indie, Platformer","Xbox One, Nintendo Switch, PC, macOS, Linux",3,78,2019-01-03,"pikuniku 2. Genres: Action, Adventure, Casual, Indie, Platformer. Available on: Xbox One, Nintendo Switch, PC, macOS, Linux. Released: 2019-01-03","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, cooperative, 2D"
Darwin Project - Open Beta,"Action, Adventure, Strategy, Massively Multiplayer, Indie",PC,1,57,2018-03-09,"darwin project open beta. Genres: Action, Adventure, Strategy, Massively Multiplayer, Indie. Available on: PC. Released: 2018-03-09","Multiplayer, cooperative, Online multiplayer"
Anomaly 2,"Action, Strategy, Indie","PlayStation 4, Linux, PC, iOS, Android, macOS",2,58,2013-05-14,"anomaly 2. Genres: Action, Strategy, Indie. Available on: PlayStation 4, Linux, PC, iOS, Android, macOS. Released: 2013-05-14","Singleplayer, Multiplayer, Steam Cloud, steam-trading-cards, Sci-fi, Cross-Platform Multiplayer, RTS, Tower Defense"
A Bird Story,"Action, Adventure, RPG, Indie","macOS, Linux, PC",2,74,2014-11-05,"a bird story. Genres: Action, Adventure, RPG, Indie. Available on: macOS, Linux, PC. Released: 2014-11-05","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich"
Evil Genius,Strategy,"PC, macOS",2,75,2004-09-27,"evil genius. Genres: Strategy. Available on: PC, macOS. Released: 2004-09-27","Singleplayer, Great Soundtrack, Funny, Classic, Comedy, Building, RTS, Management"
Warhammer Underworlds: Online,Strategy,PC,1,46,2020-01-29,warhammer underworlds online. Genres: Strategy. Available on: PC. Released: 2020-01-29,"Singleplayer, Multiplayer, Online multiplayer, Early Access, Warhammer 40K"
Blackwake,"Action, Strategy, Casual, Indie","macOS, PC",2,65,2017-02-24,"blackwake. Genres: Action, Strategy, Casual, Indie. Available on: macOS, PC. Released: 2017-02-24","Multiplayer, Atmospheric, Co-op, Open World, cooperative, First-Person, Partial Controller Support, FPS"
The Quarry,"Action, Adventure","PC, PlayStation 5, Xbox Series S/X, PlayStation 4, Xbox One",5,77,2022-06-09,"the quarry 3. Genres: Action, Adventure. Available on: PC, PlayStation 5, Xbox Series S/X, PlayStation 4, Xbox One. Released: 2022-06-09","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Co-op, Horror, Gore, Violent"
Capsized,"Action, Adventure, Indie, Platformer","Xbox 360, macOS, PC, Linux",1,56,2011-04-28,"capsized. Genres: Action, Adventure, Indie, Platformer. Available on: Xbox 360, macOS, PC, Linux. Released: 2011-04-28","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Great Soundtrack, Co-op, 2D, Sci-fi"
Toribash,"Action, Strategy, Indie","Wii, macOS, Linux, PC",1,65,2010-07-12,"toribash. Genres: Action, Strategy, Indie. Available on: Wii, macOS, Linux, PC. Released: 2010-07-12","Singleplayer, Steam Achievements, Multiplayer, steam-trading-cards, Co-op, Funny, Gore, Difficult"
Ghost of a Tale,"Action, Adventure, RPG, Indie","PlayStation 4, Nintendo Switch, PC, Xbox One",2,77,2018-03-13,"ghost of a tale. Genres: Action, Adventure, RPG, Indie. Available on: PlayStation 4, Nintendo Switch, PC, Xbox One. Released: 2018-03-13","Singleplayer, Full controller support, Atmospheric, RPG, Horror, Fantasy, Funny, Stealth"
The Beast Inside,"Action, Adventure, Indie",PC,3,69,2019-10-16,"the beast inside. Genres: Action, Adventure, Indie. Available on: PC. Released: 2019-10-16","Singleplayer, Horror, Violent, Quick-Time Events"
Draw Slasher,"Action, Adventure, Indie","PS Vita, iOS, Linux, macOS, PC",2,36,2013-04-23,"draw slasher. Genres: Action, Adventure, Indie. Available on: PS Vita, iOS, Linux, macOS, PC. Released: 2013-04-23","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, 2D, Steam Leaderboards, stats, Ninja"
ArcaniA,"Action, RPG","Xbox 360, PlayStation 3, PlayStation 4, PC",1,48,2010-10-11,"arcania. Genres: Action, RPG. Available on: Xbox 360, PlayStation 3, PlayStation 4, PC. Released: 2010-10-11","Singleplayer, RPG, Open World, Third Person, Fantasy, Action RPG, War, combat"
X-COM: Apocalypse,Strategy,PC,1,58,1997-07-14,x com apocalypse. Genres: Strategy. Available on: PC. Released: 1997-07-14,"Singleplayer, Sci-fi, Classic, Tactical, Turn-Based, Post-apocalyptic, Isometric, Aliens"
Stargunner,"Action, Shooter, Arcade","PC, macOS, Linux",1,40,1996-11-18,"stargunner. Genres: Action, Shooter, Arcade. Available on: PC, macOS, Linux. Released: 1996-11-18","Singleplayer, Partial Controller Support, Free to Play, Shoot 'Em Up"
Shadowgrounds Survivor,"Action, Shooter","macOS, PC",3,52,2007-11-13,"shadowgrounds survivor. Genres: Action, Shooter. Available on: macOS, PC. Released: 2007-11-13","Singleplayer, steam-trading-cards, Co-op, cooperative, Sci-fi, Split Screen, Local Co-Op, Includes level editor"
Pinball FX3,"Simulation, Arcade","Xbox One, PlayStation 4, Nintendo Switch, PC",1,68,2017-09-26,"pinball fx3. Genres: Simulation, Arcade. Available on: Xbox One, PlayStation 4, Nintendo Switch, PC. Released: 2017-09-26","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Steam Leaderboards, Local Multiplayer, In-App Purchases"
LEGO Star Wars: The Force Awakens,"Action, Adventure, Puzzle","Xbox One, Nintendo 3DS, Wii U, PlayStation 3, PlayStation 4, PC, macOS, PS Vita, Xbox 360, Android, iOS",5,72,2016-06-27,"lego star wars tfa. Genres: Action, Adventure, Puzzle. Available on: Xbox One, Nintendo 3DS, Wii U, PlayStation 3, PlayStation 4, PC, macOS, PS Vita, Xbox 360, Android, iOS. Released: 2016-06-27","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Co-op, Story Rich, Open World, cooperative"
GOD EATER 2: Rage Burst,"Action, RPG","PC, PS Vita, PlayStation 4",3,61,2015-02-19,"god eater 2 rage burst. Genres: Action, RPG. Available on: PC, PS Vita, PlayStation 4. Released: 2015-02-19","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, RPG"
Nioh: Complete Edition,"Action, RPG","PC, PlayStation 4",9,79,2017-11-07,"nioh complete edition ren wang complete edition. Genres: Action, RPG. Available on: PC, PlayStation 4. Released: 2017-11-07","Singleplayer, Steam Achievements, Atmospheric, RPG, cooperative, Third Person, Partial Controller Support, Online Co-Op"
Proteus,"Adventure, Casual, Indie","PC, PlayStation 3, PS Vita, Linux, macOS",1,60,2013-01-30,"proteus. Genres: Adventure, Casual, Indie. Available on: PC, PlayStation 3, PS Vita, Linux, macOS. Released: 2013-01-30","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, Open World, First-Person, Exploration, Sandbox"
Wolfenstein: Enemy Territory,"Action, Shooter","PC, macOS, Linux",1,64,2003-05-27,"wolfenstein enemy territory. Genres: Action, Shooter. Available on: PC, macOS, Linux. Released: 2003-05-27","Multiplayer, First-Person, FPS, Gore, Classic, Violent, Free to Play, Retro"
GRIP: Combat Racing,"Action, Racing, Indie","Nintendo Switch, Xbox One, PlayStation 4, PC",2,59,2018-11-05,"grip. Genres: Action, Racing, Indie. Available on: Nintendo Switch, Xbox One, PlayStation 4, PC. Released: 2018-11-05","Singleplayer, Multiplayer, Great Soundtrack, Partial Controller Support, Online multiplayer, Split Screen, Local Multiplayer, Early Access"
Call of the Sea,"Adventure, Casual, Indie, Puzzle","PlayStation 4, PlayStation 5, PC, Xbox One, Xbox Series S/X",3,74,2020-12-08,"call of the sea. Genres: Adventure, Casual, Indie, Puzzle. Available on: PlayStation 4, PlayStation 5, PC, Xbox One, Xbox Series S/X. Released: 2020-12-08","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Story Rich, First-Person, Exploration"
This Is the Police 2,"Action, Adventure, Strategy, Indie","iOS, PC, macOS, Linux, Xbox One, PlayStation 4, Nintendo Switch",5,77,2018-07-31,"this is the police 2. Genres: Action, Adventure, Strategy, Indie. Available on: iOS, PC, macOS, Linux, Xbox One, PlayStation 4, Nintendo Switch. Released: 2018-07-31","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Turn-Based"
Onrush,"Action, Racing, Arcade","PlayStation 4, Xbox One",,60,2018-06-05,"onrush. Genres: Action, Racing, Arcade. Available on: PlayStation 4, Xbox One. Released: 2018-06-05","Multiplayer, Offroad, cars, Bikes"
The Walking Dead: The Final Season,"Action, Adventure","PC, Xbox One, Nintendo Switch, PlayStation 4",10,83,2018-08-13,"the walking dead the final season. Genres: Action, Adventure. Available on: PC, Xbox One, Nintendo Switch, PlayStation 4. Released: 2018-08-13","Singleplayer, Multiplayer, Full controller support, Atmospheric, Story Rich, Horror, Gore, Female Protagonist"
We Were Here Too,"Adventure, Casual, Indie, Puzzle","Linux, macOS, Xbox One, PlayStation 4, PC",4,76,2018-02-02,"we were here too. Genres: Adventure, Casual, Indie, Puzzle. Available on: Linux, macOS, Xbox One, PlayStation 4, PC. Released: 2018-02-02","Steam Achievements, Full controller support, Steam Cloud, Atmospheric, cooperative, Partial Controller Support, Horror, Online Co-Op"
Xenonauts,"Strategy, Simulation, Indie","macOS, PC, Linux",5,63,2014-06-15,"xenonauts. Genres: Strategy, Simulation, Indie. Available on: macOS, PC, Linux. Released: 2014-06-15","Singleplayer, steam-trading-cards, RPG, 2D, Sci-fi, Tactical, Turn-Based, Isometric"
A Short Hike,"Adventure, Indie","PC, macOS, Linux, Nintendo Switch",2,87,2019-07-29,"a short hike. Genres: Adventure, Indie. Available on: PC, macOS, Linux, Nintendo Switch. Released: 2019-07-29","Singleplayer, Full controller support, Isometric"
Battletoads,"Action, Adventure, Platformer","Xbox One, Game Boy, NES, Game Gear, Commodore / Amiga, Genesis, PC",3,77,1991-06-01,"battletoads. Genres: Action, Adventure, Platformer. Available on: Xbox One, Game Boy, NES, Game Gear, Commodore / Amiga, Genesis, PC. Released: 1991-06-01","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Co-op, cooperative, Split Screen"
Dante's Inferno,"Action, Adventure","Xbox 360, Xbox One, PlayStation 3",23,78,2010-02-05,"dantes inferno. Genres: Action, Adventure. Available on: Xbox 360, Xbox One, PlayStation 3. Released: 2010-02-05","Comedy, War, puzzles, character, Demons, history, death, hell"
GOD EATER RESURRECTION,Action,"PS Vita, PC, PlayStation 4",4,61,2016-06-28,"god eater resurrection 2. Genres: Action. Available on: PS Vita, PC, PlayStation 4. Released: 2016-06-28","RPG, Anime"
Bionic Commando (2009),"Action, Shooter, Adventure","PC, PlayStation 3, Xbox 360",1,64,2009-05-18,"bionic commando. Genres: Action, Shooter, Adventure. Available on: PC, PlayStation 3, Xbox 360. Released: 2009-05-18","Singleplayer, Multiplayer, Steam Cloud, Great Soundtrack, Third Person, Partial Controller Support, Third-Person Shooter"
Retro City Rampage DX,"Action, Adventure, Racing, Indie","Nintendo Switch, PSP, PlayStation 4, PlayStation 3, PS Vita, Nintendo 3DS, Xbox 360, macOS, iOS, Linux, PC, Android",4,66,2012-10-08,"retro city rampage dx. Genres: Action, Adventure, Racing, Indie. Available on: Nintendo Switch, PSP, PlayStation 4, PlayStation 3, PS Vita, Nintendo 3DS, Xbox 360, macOS, iOS, Linux, PC, Android. Released: 2012-10-08","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Open World, First-Person"
Mortal Shell,"Action, RPG","PlayStation 4, PC, Nintendo Switch, Xbox One",3,64,2020-08-18,"mortal shell. Genres: Action, RPG. Available on: PlayStation 4, PC, Nintendo Switch, Xbox One. Released: 2020-08-18","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, RPG, Difficult, Violent, Dark Fantasy"
Sifu,"Action, Fighting","PC, Nintendo Switch, Xbox Series S/X, Xbox One, PlayStation 5, PlayStation 4",3,81,2022-02-08,"sifu. Genres: Action, Fighting. Available on: PC, Nintendo Switch, Xbox Series S/X, Xbox One, PlayStation 5, PlayStation 4. Released: 2022-02-08","Singleplayer, Third Person, Difficult, Action-Adventure, Action RPG, Dark, Hack and Slash, War"
Syberia 3,"Adventure, Puzzle","Nintendo Switch, macOS, PC, Xbox One, PlayStation 4",6,58,2017-04-19,"syberia 3. Genres: Adventure, Puzzle. Available on: Nintendo Switch, macOS, PC, Xbox One, PlayStation 4. Released: 2017-04-19","Singleplayer, Steam Achievements, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person"
Final DOOM,"Action, Shooter","PlayStation, PC, Classic Macintosh",1,82,1996-05-31,"final doom. Genres: Action, Shooter. Available on: PlayStation, PC, Classic Macintosh. Released: 1996-05-31","Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, cooperative, First-Person, Sci-fi, Horror"
Painkiller: Black Edition,,PC,2,78,2007-01-24,painkiller black edition. Available on: PC. Released: 2007-01-24,"Singleplayer, Atmospheric, Great Soundtrack, First-Person, Horror, FPS, Gore, Classic"
Late Shift,"Action, Adventure, Indie","PC, PlayStation 4, Nintendo Switch, Xbox One, macOS",3,71,2017-04-17,"late shift. Genres: Action, Adventure, Indie. Available on: PC, PlayStation 4, Nintendo Switch, Xbox One, macOS. Released: 2017-04-17","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, Story Rich, First-Person, Horror"
Space Pirates and Zombies,"Action, RPG, Strategy, Indie","PC, macOS, Linux",3,63,2011-08-14,"space pirates and zombies. Genres: Action, RPG, Strategy, Indie. Available on: PC, macOS, Linux. Released: 2011-08-14","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, RPG, Open World, 2D, Sci-fi"
Road Redemption,"Action, Adventure, Simulation, Racing","PlayStation 4, Nintendo Switch, Linux, macOS, PC, Wii U, Xbox One",2,71,2014-07-01,"road redemption. Genres: Action, Adventure, Simulation, Racing. Available on: PlayStation 4, Nintendo Switch, Linux, macOS, PC, Wii U, Xbox One. Released: 2014-07-01","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, RPG, Third Person"
Absolute Drift,"Action, Sports, Racing, Indie","iOS, PC, macOS, Linux, Android",2,58,2015-07-24,"absolute drift. Genres: Action, Sports, Racing, Indie. Available on: iOS, PC, macOS, Linux, Android. Released: 2015-07-24","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Steam Leaderboards, stats"
Gears of War: Ultimate Edition,"Action, Shooter","PC, Xbox One",,81,2015-08-25,"gears of war ultimate edition. Genres: Action, Shooter. Available on: PC, Xbox One. Released: 2015-08-25","Singleplayer, Multiplayer, Co-op, Sci-fi, Violent, exclusive, Aliens, chainsaw"
Silent Hill 2 (2001),"Action, Adventure","PC, Xbox, PlayStation 2",17,87,2001-09-24,"silent hill 2. Genres: Action, Adventure. Available on: PC, Xbox, PlayStation 2. Released: 2001-09-24","Singleplayer, Steam Achievements, Full controller support, Atmospheric, Great Soundtrack, Story Rich, Third Person, Horror"
Quake IV,"Action, Shooter","Xbox 360, macOS, Linux, PC",1,74,2005-10-18,"quake iv. Genres: Action, Shooter. Available on: Xbox 360, macOS, Linux, PC. Released: 2005-10-18","Singleplayer, Multiplayer, Steam Cloud, Atmospheric, First-Person, Sci-fi, Horror, FPS"
LittleBigPlanet 2,"Action, Arcade",PlayStation 3,5,81,2011-01-18,"littlebigplanet 2. Genres: Action, Arcade. Available on: PlayStation 3. Released: 2011-01-18","exclusive, true exclusive"
McPixel,"Action, Adventure, Arcade, Indie, Puzzle","iOS, macOS, PC, Android",4,60,2012-08-27,"mcpixel. Genres: Action, Adventure, Arcade, Indie, Puzzle. Available on: iOS, macOS, PC, Android. Released: 2012-08-27","Singleplayer, Steam Cloud, steam-trading-cards, Great Soundtrack, 2D, Funny, Comedy, Pixel Graphics"
RIFT,"Action, Adventure, RPG, Strategy, Massively Multiplayer",PC,4,58,2011-03-01,"rift. Genres: Action, Adventure, RPG, Strategy, Massively Multiplayer. Available on: PC. Released: 2011-03-01","Singleplayer, Multiplayer, Atmospheric, steam-trading-cards, RPG, Co-op, Open World, cooperative"
Crash Time 2,"Action, Racing",PC,1,46,2008-11-27,"crash time 2. Genres: Action, Racing. Available on: PC. Released: 2008-11-27","Singleplayer, Open World, Split Screen, Local Multiplayer, Driving"
Tom Clancy's Rainbow Six Vegas,"Action, Shooter","PlayStation 3, Xbox 360, PC, Xbox One",1,73,2006-11-22,"tom clancys rainbowsix vegas. Genres: Action, Shooter. Available on: PlayStation 3, Xbox 360, PC, Xbox One. Released: 2006-11-22","Singleplayer, Multiplayer, Co-op, cooperative, First-Person, FPS, Online Co-Op, Classic"
I Am Alive,"Action, Adventure","PC, PlayStation 3, Xbox One, Xbox 360",2,68,2012-03-07,"i am alive. Genres: Action, Adventure. Available on: PC, PlayStation 3, Xbox One, Xbox 360. Released: 2012-03-07","Singleplayer, Atmospheric, Open World, Third Person, Partial Controller Support, Horror, FPS, Survival"
Obduction,"Adventure, Indie, Puzzle","PlayStation 4, macOS, Xbox One, PC",2,63,2016-08-23,"obduction. Genres: Adventure, Indie, Puzzle. Available on: PlayStation 4, macOS, Xbox One, PC. Released: 2016-08-23","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Open World"
The Bard's Tale,"Action, RPG","Android, PlayStation 2, Linux, macOS, PC, iOS",3,70,2004-10-26,"the bards tale. Genres: Action, RPG. Available on: Android, PlayStation 2, Linux, macOS, PC, iOS. Released: 2004-10-26","Singleplayer, RPG, Fantasy, Funny, Classic, Comedy, Action RPG, Hack and Slash"
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition Double Pack","Adventure, Indie, Puzzle",PC,1,44,2009-08-25,"time gentlemen please and ben there dan that speci. Genres: Adventure, Indie, Puzzle. Available on: PC. Released: 2009-08-25","Singleplayer, 2D, Funny, Comedy, Point & Click, Hand-drawn, Time Travel"
Rochard,"Action, Casual, Indie","macOS, PC, Linux",1,61,2011-11-15,"rochard. Genres: Action, Casual, Indie. Available on: macOS, PC, Linux. Released: 2011-11-15","Singleplayer, Steam Achievements, Steam Cloud, Great Soundtrack, 2D, Sci-fi, Partial Controller Support, Space"
The Legend of Zelda: Ocarina of Time,"Action, Adventure, RPG","Nintendo Switch, Nintendo 64",7,87,1998-11-21,"the legend of zelda ocarina of time. Genres: Action, Adventure, RPG. Available on: Nintendo Switch, Nintendo 64. Released: 1998-11-21",Singleplayer
Mario Kart 8 Deluxe,Racing,Nintendo Switch,,89,2017-04-27,mario kart 8 deluxe. Genres: Racing. Available on: Nintendo Switch. Released: 2017-04-27,"Multiplayer, Funny, Family Friendly, exclusive, Cartoon"
King's Bounty: Crossworlds,"RPG, Strategy",PC,2,78,2010-09-17,"kings bounty crossworlds. Genres: RPG, Strategy. Available on: PC. Released: 2010-09-17","Singleplayer, Steam Cloud, Atmospheric, RPG, Fantasy, Female Protagonist, Includes level editor, Turn-Based"
Animal Crossing: New Horizons,Simulation,Nintendo Switch,,86,2020-03-20,animal crossing 2019. Genres: Simulation. Available on: Nintendo Switch. Released: 2020-03-20,"Singleplayer, exclusive, true exclusive"
Teenagent,Adventure,"Classic Macintosh, Commodore / Amiga, PC, macOS",1,40,1994-02-25,"teenagent. Genres: Adventure. Available on: Classic Macintosh, Commodore / Amiga, PC, macOS. Released: 1994-02-25",Singleplayer
Eschalon: Book I,"RPG, Indie","PC, Linux, macOS",1,48,2007-11-19,"eschalon book i. Genres: RPG, Indie. Available on: PC, Linux, macOS. Released: 2007-11-19","Singleplayer, RPG, 2D, Fantasy, role-playing, Turn-Based, Isometric"
Star Trek Online,"RPG, Massively Multiplayer","Xbox One, PlayStation 4, PC",5,52,2012-01-31,"star trek online. Genres: RPG, Massively Multiplayer. Available on: Xbox One, PlayStation 4, PC. Released: 2012-01-31","Singleplayer, Steam Achievements, Multiplayer, Full controller support, RPG, Co-op, Open World, cooperative"
Biomutant,"Action, RPG","PlayStation 5, Xbox Series S/X, PC, Nintendo Switch, Xbox One, PlayStation 4",5,55,2021-05-25,"biomutant. Genres: Action, RPG. Available on: PlayStation 5, Xbox Series S/X, PC, Nintendo Switch, Xbox One, PlayStation 4. Released: 2021-05-25","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards, RPG, Open World"
RESOGUN,Arcade,"PS Vita, PlayStation 3, PlayStation 4",1,74,2013-11-15,"resogun. Genres: Arcade. Available on: PS Vita, PlayStation 3, PlayStation 4. Released: 2013-11-15",exclusive
Reigns,"Adventure, RPG, Simulation, Card, Indie","Android, Linux, macOS, PC, iOS",3,74,2016-08-10,"reigns. Genres: Adventure, RPG, Simulation, Card, Indie. Available on: Android, Linux, macOS, PC, iOS. Released: 2016-08-10","Singleplayer, Steam Achievements, Full controller support, steam-trading-cards, RPG, 2D, Fantasy, Comedy"
Scarlet Nexus,"Action, Adventure, RPG","PlayStation 5, Xbox Series S/X, PC, Xbox One, PlayStation 4",7,72,2021-06-25,"scarlet nexus. Genres: Action, Adventure, RPG. Available on: PlayStation 5, Xbox Series S/X, PC, Xbox One, PlayStation 4. Released: 2021-06-25","Singleplayer, Steam Achievements, Steam Cloud, RPG, Open World, Sci-fi, Partial Controller Support, Fantasy"
